names,relative_mass,r,g,b,pos_x,pos_y,pos_z,velocity_x,velocity_y,velocity_z
Gaia DR3 5231874592994960640,1.5017977620579879,0,0,255,660.5114406036348,-1617.24948135044,-278.4141648862203,-101956.91865569682,-33498.952879532626,-44257.882881154816
Gaia DR3 3048696399504596224,1.4075663467518238,255,244,234,-1258.334289517067,-1191.1049552238153,52.013837055234966,1848.6148827525203,-1198.739541470657,-863.2978787839323
Gaia DR3 2017836972120732928,2.048566072043236,180,204,255,2216.227103454124,3265.683073741842,59.482636700985836,85032.63907142407,-58669.97488906407,-6782.033319150772
Gaia DR3 5528175762442286464,0.8844449117814183,255,246,238,-192.68644926828972,-1202.477696016277,-5.463379852051787,-81793.71495579301,13619.71801045542,-9457.80845833957
Gaia DR3 1974262879621855104,0.2669523781963187,255,193,143,-5.8982390879921835,137.31995590496376,-12.066220553092103,-26988.909492923747,-3430.4383029569526,-15055.444192147199
Gaia DR3 4253354358686072192,1.0828776748738744,255,234,216,1240.8846136043605,642.6822516055289,-40.13676754766488,-335.7671911191193,-855.9284778003766,3836.626383054354
Gaia DR3 4107082822155354496,1.1087457641951461,239,240,255,1063.7225461646417,433.29868580092375,-56.37858564284637,5789.863466838725,-16525.722465117356,-1859.0027670699521
Gaia DR3 5466601255858644864,1.3163018800796311,255,241,229,-225.367727772745,-1597.6083738468096,628.652410284209,-116576.78339512009,-427.85644368439415,-44183.44370317822
Gaia DR3 3408568719931668608,1.5101045103927513,255,247,239,-2150.764175888752,-61.56053812147958,-513.9685065416667,3544.608653164852,-23087.40009449692,-9074.263223811222
Gaia DR3 3314770173241090688,0.7050848794040588,255,243,232,-682.4603703778798,-335.44098343586734,-146.38769198885362,-6194.558439187299,10599.078505548785,7736.973853649519
Gaia DR3 5934843744489260288,1.2863315923839713,255,250,255,1506.3085241246845,-787.8128716361166,-18.036115759418294,-18533.16338240906,-34097.95834571052,-5329.996758171057
Gaia DR3 5376173743098528000,0.5426942819288503,0,0,255,131.9059745886993,-422.1006557703696,107.92677723860713,-11280.29690332843,-6190.007469040565,-12349.215730963408
Gaia DR3 3435223115174372864,1.2170099576603892,255,247,239,-1302.84994295555,-87.07888456212935,184.26423345037787,-170.63872224467204,7565.836032218421,-2478.93769301196
Gaia DR3 2080972853912278400,1.0297591256904388,255,241,229,211.9223577841431,1130.2380552305995,105.58178970883266,42734.36583156986,-8509.314686327845,-4730.818397644028
Gaia DR3 6729448806273955072,0.46088778907540917,255,251,245,128.93896169009096,-4.259502997064968,-36.97278746780892,-2791.0295517387176,-15115.459213278902,-5599.52369272996
